79628935 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184535 0 1.72000000020489097 
79628975 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184535 0 1.72000000020489097 
79629015 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184532 0 -1.27999999979510903 
79629055 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184535 0 1.72000000020489097 
79629095 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184535 0 1.72000000020489097 
79629135 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184531 0 -2.27999999979510903 
79629175 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184530 0 -3.27999999979510903 
79629215 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184534 0 0.720000000204890966 
79629255 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184531 0 -2.27999999979510903 
79629295 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184535 0 1.72000000020489097 
79629335 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184530 0 -3.27999999979510903 
79629375 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184535 0 1.72000000020489097 
79629415 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184535 0 1.72000000020489097 
79629455 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184528 0 -5.27999999979510903 
79629495 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184534 0 0.720000000204890966 
79629535 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184532 0 -1.27999999979510903 
79629575 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184535 0 1.72000000020489097 
79629615 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184531 0 -2.27999999979510903 
79629655 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184532 0 -1.27999999979510903 
79629695 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184534 0 0.720000000204890966 
79629735 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184534 0 0.720000000204890966 
79629775 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184535 0 1.72000000020489097 
79629815 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184534 0 0.720000000204890966 
79629855 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184534 0 0.720000000204890966 
79629895 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184530 0 -3.27999999979510903 
79629935 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184534 0 0.720000000204890966 
79629975 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184535 0 1.72000000020489097 
79630015 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184530 0 -3.27999999979510903 
79630055 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184534 0 0.720000000204890966 
79630095 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184531 0 -2.27999999979510903 
79630135 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184535 0 1.72000000020489097 
79630175 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184532 0 -1.27999999979510903 
79630215 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184531 0 -2.27999999979510903 
79630255 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184535 0 1.72000000020489097 
79630295 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184530 0 -3.27999999979510903 
79630335 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184529 0 -4.27999999979510903 
79630375 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184534 0 0.720000000204890966 
79630415 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184529 0 -4.27999999979510903 
79630455 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184534 0 0.720000000204890966 
79630495 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184534 0 0.720000000204890966 
79630535 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184533 0 -0.279999999795109034 
79630575 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184534 0 0.720000000204890966 
79630615 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184529 0 -4.27999999979510903 
79630655 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184535 0 1.72000000020489097 
79630695 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184531 0 -2.27999999979510903 
79630735 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184529 0 -4.27999999979510903 
79630775 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184532 0 -1.27999999979510903 
79630815 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184530 0 -3.27999999979510903 
79630855 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184531 0 -2.27999999979510903 
79630895 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184534 0 0.720000000204890966 
79630935 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184529 0 -4.27999999979510903 
79630975 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184532 0 -1.27999999979510903 
79631015 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184534 0 0.720000000204890966 
79631055 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184535 0 1.72000000020489097 
79631095 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184532 0 -1.27999999979510903 
79631135 504000 0 0 1404200 0 0 0 0 0 3801088 0 0 3881186 0 1.46079999953508377 -2184536 0 2.72000000020489097 
