-0.0502460000,-0.0969490000,-0.0415100000,-0.4907723280,0.6414936395,-0.8530730000
-0.0433470000,-0.0805010000,-0.0438300000,-0.4759365640,0.0284197602,-0.4489090000
-0.0614230000,-0.0932100000,0.0139870000,-0.4612452472,-0.8901620639,-0.7826190000
-0.0479320000,-0.0959510000,-0.0285930000,-0.4467041336,-0.1750985481,-0.9155470000
-0.0631990000,-0.0910830000,-0.0133860000,-0.4323188385,0.3788800030,-0.4035820000
-0.0365160000,-0.0885950000,-0.0215200000,-0.4180948316,0.6955469667,-0.5805780000
-0.0655430000,-0.1032120000,-0.0056850000,-0.4040374317,-0.3519941887,-0.8677420000
-0.0381870000,-0.0849940000,-0.0354110000,-0.3901518027,0.9383730982,-0.1449230000
-0.0579410000,-0.0873540000,0.0026520000,-0.3764429490,-0.8357334659,-1.1457190000
-0.0580950000,-0.0906960000,-0.0323090000,-0.3629157115,0.4913711913,-1.0488470000
-0.0490750000,-0.0870950000,-0.0251070000,-0.3495747638,0.3144407816,-0.7714450000
-0.0521370000,-0.0988890000,-0.0100110000,-0.3364246088,-0.4736841103,-0.5018120000
-0.0501090000,-0.0788920000,-0.0535330000,-0.3234695754,1.0637998988,-0.9644660000
-0.0490940000,-0.0991940000,-0.0052220000,-0.3107138153,-0.4941507808,-0.5175420000
-0.0478630000,-0.0867340000,-0.0332580000,-0.2981613007,-0.1816171895,-0.9713130000
-0.0555020000,-0.1059920000,-0.0113960000,-0.2858158213,0.3236762009,-0.6606500000
-0.0475320000,-0.0814490000,-0.0464500000,-0.2736809826,-0.1026234364,-0.5683340000
-0.0674300000,-0.1001590000,0.0056260000,-0.2617602033,-0.6608626967,-0.7507300000
-0.0500920000,-0.0869740000,-0.0391790000,-0.2500567144,0.9415434885,-0.9552160000
-0.0579040000,-0.0902100000,-0.0102250000,-0.2385735571,-0.2571188582,-0.6854650000
-0.0640980000,-0.0975950000,0.0131690000,-0.2273135818,-0.8824444320,-0.9856240000
-0.0577570000,-0.0891960000,-0.0538020000,-0.2162794473,0.6743754685,-0.8719080000
-0.0521470000,-0.0897110000,-0.0376720000,-0.2054736198,0.4606486942,-0.3143390000
-0.0564730000,-0.0912640000,-0.0158380000,-0.1948983725,-0.4960913943,-0.6521680000
-0.0553800000,-0.1028870000,-0.0062170000,-0.1845557854,-0.4357908691,-0.8814200000
-0.0484120000,-0.0880830000,-0.0452840000,-0.1744477452,0.1039344134,-0.5857310000
-0.0778420000,-0.1097630000,0.0218280000,-0.1645759453,-1.4036198587,-0.9048960000
-0.0575240000,-0.0995850000,-0.0165430000,-0.1549418866,-0.3263528292,-0.7711560000
-0.0749110000,-0.0920610000,-0.0421400000,-0.1455468776,0.5853257507,-0.2868360000
-0.0621320000,-0.1013770000,-0.0025080000,-0.1363920355,-0.8905062172,-0.7523940000
-0.0746350000,-0.0922250000,-0.0202360000,-0.1274782871,0.0543463899,-0.6256100000
-0.0488810000,-0.0980550000,0.0048380000,-0.1188063702,-0.2578534538,-0.3798300000
-0.0576850000,-0.0826770000,-0.0004890000,-0.1103768347,-0.5756413198,-0.0017130000
-0.0538800000,-0.1006350000,0.0047600000,-0.1021900444,-0.1138938780,-0.7079820000
-0.0518220000,-0.0827690000,-0.0344030000,-0.0942461788,0.5840671370,-0.3504400000
-0.0464260000,-0.0931940000,-0.0018680000,-0.0865452349,-0.3666407198,-0.4847240000
-0.0557120000,-0.0906660000,-0.0149320000,-0.0790870298,-0.3275543156,-1.1401090000
-0.0526300000,-0.0913190000,-0.0484450000,-0.0718712026,0.7155887983,-0.3853420000
-0.0505450000,-0.0771460000,-0.0093450000,-0.0648972171,-0.5328859752,-0.2382360000
-0.0576220000,-0.0951400000,-0.0177480000,-0.0581643646,0.1330793753,-1.1104720000
-0.0513990000,-0.0863070000,-0.0317800000,-0.0516717666,-0.7155048151,-0.6823730000
