0.006722,0.003452,0.002224,0.050740,0.032204,0.158328
0.008235,0.007138,0.021380,0.580387,-0.218660,0.280908
0.007707,0.002615,-0.001899,0.366356,0.238656,0.240002
0.009040,0.003610,0.025965,0.517742,-0.353837,0.122044
0.008514,-0.006651,-0.017002,0.183061,-0.013337,0.819569
0.007710,0.006991,-0.007167,-0.181601,-0.055319,0.259027
-0.006552,-0.016600,0.011851,0.412330,-0.279529,0.235157
0.006276,0.003679,0.012202,0.301446,-0.691170,0.408808
0.003115,-0.000526,0.023605,0.119474,-0.123324,0.621763
0.016711,0.006436,-0.003035,0.330988,0.079645,0.246728
0.001283,-0.000424,0.002394,-0.423185,-0.321489,0.490239
0.007021,0.013099,-0.025917,-0.810178,-0.365398,0.493866
-0.009116,-0.000749,-0.004118,-0.430082,-0.383333,0.016061
0.008308,0.011957,-0.024728,-1.604279,-0.577128,0.881732
-0.002209,0.001775,-0.003255,-0.385352,0.336427,0.484071
0.003118,0.002553,0.021386,-0.113067,-0.565203,0.250562
-0.001339,0.002441,0.002624,-0.389445,-0.537348,0.494729
0.000190,0.004663,-0.013617,-0.597315,0.112840,0.351533
0.005734,0.008048,-0.020379,-0.069352,0.299989,0.399079
0.009237,-0.000188,-0.030322,-1.188893,0.313863,0.623883
-0.002298,0.000938,-0.020770,-0.679478,-0.016274,0.339667
0.012726,0.003442,-0.031231,-0.663437,0.624901,0.166246
0.011623,0.010578,-0.026596,-0.692824,1.293592,0.572854
-0.004038,-0.007639,-0.022194,-0.525069,0.550567,0.168793
0.002908,0.002566,-0.031510,-0.639140,0.595385,-0.217262
0.000184,0.000918,-0.005287,-0.699461,0.366960,0.200055
0.001437,0.001289,-0.020898,-0.009900,-0.240291,-0.501252
-0.017584,-0.000106,-0.010949,-0.912863,-0.411815,-0.151774
0.000781,0.003547,-0.046442,-0.496551,-0.041080,-0.034627
-0.012828,-0.000687,-0.000100,-0.659695,-0.084369,-0.414746
0.009414,0.010316,-0.033713,-0.157308,0.407009,-0.051686
-0.009033,-0.011079,0.002493,-0.036603,0.135282,-0.513085
0.003633,0.002789,-0.022605,0.236417,0.238033,0.022389
-0.010481,-0.005893,0.011385,0.386133,0.044920,-0.269551
-0.002442,0.001079,-0.000662,-0.004671,0.005324,-0.368218
-0.017466,-0.016807,0.015885,0.364748,-0.923800,-0.296145
0.005337,0.000862,0.008552,0.464947,0.357651,-0.099350
-0.001717,-0.005545,0.013131,0.354864,-0.120620,-0.470292
-0.001947,0.000662,0.013548,0.381465,-0.218732,0.049181
-0.007927,0.003682,0.020868,0.182602,-1.168216,-0.101346
0.008413,0.001371,0.018902,0.369862,-0.082800,-0.067956
-0.005833,-0.003195,0.019758,0.544596,-0.177504,-0.245681
0.005646,0.002435,0.031280,0.101811,-0.263833,-0.291024
-0.004034,0.007168,0.029511,-0.128511,-2.384186,0.285887
0.004520,0.003541,0.024954,-0.107625,-1.621541,0.420438
0.004034,0.011914,0.020707,0.142884,-0.140403,0.134146
0.018480,0.004883,0.006231,0.245973,0.451092,0.691360
0.006043,0.005904,0.013249,-0.081096,-1.274607,0.308946
0.008547,-0.001744,0.009333,-0.046434,-0.707283,0.506057
0.004172,0.011566,0.010010,-0.066555,-0.983044,0.530422
0.003466,0.001273,0.008726,-0.061766,-1.498134,0.445601
0.003364,0.001558,-0.000041,-0.224473,-0.748324,0.400720
0.003660,-0.005991,0.000192,0.093937,-0.743233,0.866121
0.006529,0.013923,0.002631,0.035440,-1.188765,0.268874
0.013960,0.002310,-0.018269,-0.050067,0.424665,0.573104
0.014498,0.012656,-0.024407,-0.243728,0.613005,0.495028
0.007146,-0.000273,-0.007926,-0.170694,0.545426,0.221771
0.017636,0.007883,-0.026504,-0.334576,0.831816,0.022642
0.015145,0.003331,-0.028365,-0.289859,1.696430,0.460802
0.016215,0.007178,-0.040501,-0.268248,1.591441,0.140859
0.002990,-0.002174,-0.021564,-0.366225,1.090022,0.075440
0.009076,0.004253,-0.046432,-0.283442,1.578426,0.073920
-0.003529,-0.008007,-0.013713,-0.463188,1.744599,0.150017
0.007572,0.002346,-0.044098,-0.032043,1.758320,0.166134
-0.011243,-0.015806,-0.019027,-0.181309,1.138773,-0.527098
0.005590,0.004059,-0.030683,0.080994,0.774366,-0.312357
-0.013153,-0.006228,0.004912,0.027123,0.102248,0.145536
0.006125,-0.004055,-0.004922,0.117951,-0.032700,-0.175013
-0.009592,-0.014014,0.026031,-0.337648,-0.363970,-0.301801
-0.000286,-0.003375,0.001807,0.059878,0.269107,-0.295282
-0.006007,-0.000090,0.013108,0.090149,0.040006,0.047746
0.002448,-0.004977,0.008378,0.184630,-0.046466,0.058657
-0.002925,-0.008512,0.010233,0.172620,-0.151324,-0.236713
0.009535,-0.005811,-0.000166,0.421242,-0.113136,0.224588
0.014656,0.004007,0.001173,0.544415,2.677468,0.186905
-0.006066,-0.010498,0.008299,0.345516,-0.419190,0.001467
0.002590,0.001683,-0.008238,0.756595,-0.475274,-0.022114
-0.007494,-0.008693,0.016883,0.294746,-0.475031,0.034167
0.007218,0.008117,-0.005530,0.416380,-0.106000,0.127349
-0.015290,-0.001232,0.017300,0.188891,-0.567281,-0.122301
0.006788,0.001683,0.005165,0.091964,-0.162001,-0.157071
-0.010323,0.002481,0.020753,0.106249,-1.937518,-0.041208
0.008652,0.006587,0.001764,0.035066,0.199342,0.121594
-0.006358,0.005812,0.022539,-0.122409,-0.389465,0.017255
0.001845,0.000482,-0.003855,0.005908,-0.242520,0.207890
-0.003801,-0.000487,0.012022,0.001280,-0.009857,0.283389
0.011416,0.009508,-0.000333,-0.239526,0.064264,0.546677
-0.005062,-0.000109,0.004452,-0.242855,-0.199280,0.124434
0.010651,0.007362,-0.009629,-0.123436,0.292928,0.116372
-0.009204,0.001154,0.008178,-0.313565,-0.244433,-0.038730
0.013697,0.000531,-0.002405,-0.396407,0.016675,0.153697
-0.003066,-0.004780,-0.000786,-0.404564,-1.025696,0.015736
0.008721,0.003124,0.001830,-0.548062,-0.228855,0.178522
-0.002469,0.004082,-0.012767,-0.352892,-0.036970,-0.292521
0.004618,-0.005860,-0.014162,-0.413725,0.187447,-0.168954
0.011062,0.004345,-0.002762,-0.211110,0.124936,-0.314812
0.000331,-0.002112,-0.013509,0.068478,0.315101,-0.126400
0.002304,0.001184,-0.014875,-0.148084,0.159375,-0.506211
