TX,TY,TZ,FX_0,FY_0,FZ,flow_speed,vegetation_layout
0.0536672171,0.0126098971,-0.0039769892,0.1684757787,-0.1248016484,-0.0688857319,0.1000000000,0000000000000001000001000000000000011
0.2057391618,0.1439666500,0.0605005489,0.8325462016,-0.0686125418,-0.0398661852,0.2000000000,0000000000000001000001000000000000011
0.4645418402,0.2984624561,0.1456423564,1.6966887275,-0.0996422349,-0.0960460157,0.3000000000,0000000000000001000001000000000000011
0.8228608195,0.4913273399,0.2453778047,2.9723583931,-0.4155642642,-0.2365281415,0.4000000000,0000000000000001000001000000000000011
-0.1334013388,0.1546881825,-0.0161832954,0.0183839921,-0.2425254339,1.3362844708,0.1000000000,1000000000000000000000000000100001001
-0.0510050326,0.1507050072,0.0196793883,0.5090087344,0.0422378041,0.0664712240,0.2000000000,1000000000000000000000000000100001001
-0.0598538085,0.2643797761,0.0416322399,1.0714768430,0.0847875226,-0.0116121061,0.3000000000,1000000000000000000000000000100001001
0.0359836632,0.4685193054,0.0571985738,1.6454195567,-0.2797721433,-0.2375457983,0.4000000000,1000000000000000000000000000100001001
-0.0962046156,0.0320562145,-0.0319670449,0.1872003477,-0.2234264664,0.4466298611,0.1000000000,0001000001000001000000000000000001000
-0.2920942393,0.1621354232,-0.0489538306,0.9476879279,0.0451289598,0.6037487947,0.2000000000,0001000001000001000000000000000001000
-0.9725906085,0.5254027523,-0.1517134541,3.5650781349,0.0594990972,1.0632505419,0.4000000000,0001000001000001000000000000000001000
-0.0432893367,-0.0694666728,-0.0343114787,0.1410386929,-0.2891611069,0.0467491374,0.1000000000,1100000000000001000001000000000000000
-0.1591528583,-0.0612506839,-0.0530643257,0.6739262972,-0.0394479041,0.3483966042,0.2000000000,1100000000000001000001000000000000000
-0.2903232094,-0.1299345692,-0.1234307796,1.3680146965,-0.0049389224,0.2505307272,0.3000000000,1100000000000001000001000000000000000
-0.4814704219,-0.2637494471,-0.2742857078,2.0844945491,-0.2797401922,0.2867020117,0.4000000000,1100000000000001000001000000000000000
-0.0005644685,-0.0184759929,0.0934849760,-0.0142329137,-0.4111368198,0.2648881992,0.1000000000,1000110000000000000010000000000000001
-0.0095633903,-0.2514155182,0.0123207490,0.7269608064,-0.0835983059,0.4134661964,0.2000000000,1000110000000000000010000000000000001
0.1064130916,-0.5808832239,0.0370299452,1.5244511072,-0.1376520352,0.1188191103,0.3000000000,1000110000000000000010000000000000001
0.1292367727,-0.9915772295,0.0660661380,2.5764656672,-0.2356849706,0.1735998843,0.4000000000,1000110000000000000010000000000000001
0.0871035787,-0.0418074900,-0.0094199762,0.2320228200,-0.2234102592,-0.2615200762,0.1000000000,0011000100000000000000000000000101000
0.2213395923,-0.1066690487,0.0321229409,0.6189897762,0.0999397906,0.0227205172,0.2000000000,0011000100000000000000000000000101000
0.4473401397,-0.2664388788,0.0571818510,1.4837521256,0.0334135393,0.1841473625,0.3000000000,0011000100000000000000000000000101000
0.6780084011,-0.5564748840,0.0884695113,2.3982737588,-0.3383116102,0.3791330755,0.4000000000,0011000100000000000000000000000101000
0.0619846721,0.0172716681,-0.0168633344,0.1589941869,-0.1489925758,-0.0321931840,0.1000000000,0000000000000011000011000000010000000
0.2152332072,0.1447568773,0.0083747751,0.7906454322,-0.0557305909,-0.0895699343,0.2000000000,0000000000000011000011000000010000000
0.4433835412,0.2822332040,0.0187968919,1.4899425074,-0.1673636192,0.1390508733,0.3000000000,0000000000000011000011000000010000000
0.7347515505,0.4406064002,0.0276636882,2.5028140517,-0.3395568235,0.0947590698,0.4000000000,0000000000000011000011000000010000000
-0.1291536650,0.1353777929,-0.0234499668,0.0375966288,-0.2784468792,0.9420299590,0.1000000000,1000000000000000100000000000000110001
-0.0482974396,0.1768043828,-0.0133820275,0.5701034249,0.0098462966,0.0627176828,0.2000000000,1000000000000000100000000000000110001
-0.0480588154,0.3322592807,-0.0324956454,1.2612131380,-0.1186792891,0.4531470036,0.3000000000,1000000000000000100000000000000110001
-0.0049922901,0.6239112527,-0.0937035301,2.1345760433,-0.2980150965,0.4516564548,0.4000000000,1000000000000000100000000000000110001
-0.1057161160,0.0256835155,-0.0290289043,0.1711191265,-0.1453951329,0.3367512852,0.1000000000,0001010000000000000000000000010001100
-0.3040805135,0.1722924809,-0.0216410227,0.9034649233,0.0994779238,0.5941152813,0.2000000000,0001010000000000000000000000010001100
-0.6381770278,0.3496023107,-0.0413407500,2.0601065329,0.2094938356,1.2501423772,0.3000000000,0001010000000000000000000000010001100
-1.0426883102,0.5798177791,-0.0716354199,3.6922016101,0.2402867380,0.6770802707,0.4000000000,0001010000000000000000000000010001100
-0.0393016038,-0.0626875663,-0.0267286654,0.1361030511,-0.2988112790,0.1158056096,0.1000000000,0000000100000001100001100000000000000
-0.1642994984,-0.0808052440,-0.0141443892,0.7674505658,0.0569384862,0.0720819835,0.2000000000,0000000100000001100001100000000000000
-0.3078372662,-0.1926326990,-0.0308910466,1.4288656657,0.0396101408,0.1468514017,0.3000000000,0000000100000001100001100000000000000
-0.5035390946,-0.3929854863,-0.0649481857,2.2361049956,-0.2480751256,-0.1267021817,0.4000000000,0000000100000001100001100000000000000
-0.0220184528,-0.0306280271,0.0951955416,-0.0235408693,-0.3601180970,0.1455972468,0.1000000000,1000000000001000001000000000000000011
